Rating,Datadate,Content,BOW,Sentiment Score
5,7/7/2020,Got it quick and it’s great,"Counter({'got': 1, 'quick': 1, 'great': 1})",0.566666667
5,7/7/2020,Price was higher but we have been looking for months. We  finally caved after saving for awhile and paid the higher price tag. It was worth it. My fiance is happy. The Switch works perfectly. Thank you.,"Counter({'price': 2, 'higher': 2, 'looking': 1, 'month': 1, 'finally': 1, 'caved': 1, 'saving': 1, 'awhile': 1, 'paid': 1, 'tag': 1, 'worth': 1, 'fiance': 1, 'happy': 1, 'switch': 1, 'work': 1, 'perfectly': 1, 'thank': 1})",0.433333333
5,8/7/2020,I hate the fact that the price was raised so much but 🤷🏻‍♀️. Product is great,"Counter({'hate': 1, 'fact': 1, 'price': 1, 'raised': 1, 'much': 1, 'product': 1, 'great': 1})",0.066666667
5,8/7/2020,My daughter loves her switch it came in sooner than expected. 2 thumbs up.,"Counter({'daughter': 1, 'love': 1, 'switch': 1, 'came': 1, 'sooner': 1, 'expected': 1, 'thumb': 1})",-0.1
3,8/7/2020,"I mean the console is great and I'd recommend it to anyone but $450? Really, Walmart? I don't understand why or how huge corporate sellers of this product can hike up the price $150 more than its retail price. Us people just wanna play games :( so stop playing games with us!","Counter({'price': 2, 'u': 2, 'game': 2, 'mean': 1, 'console': 1, 'great': 1, 'recommend': 1, 'anyone': 1, 'really': 1, 'walmart': 1, 'understand': 1, 'huge': 1, 'corporate': 1, 'seller': 1, 'product': 1, 'hike': 1, 'retail': 1, 'people': 1, 'wan': 1, 'na': 1, 'play': 1, 'stop': 1, 'playing': 1})",0.092857143
5,8/7/2020,Overpriced but can’t find it any where else so sooo worth it! Love amazon!!,"Counter({'overpriced': 1, 'find': 1, 'else': 1, 'sooo': 1, 'worth': 1, 'love': 1, 'amazon': 1})",0.578125
1,9/7/2020,"False advertisement, was suppose to come with a 32GB MicroSD card. But nowhere to be found, very disappointed... would not recommend","Counter({'false': 1, 'advertisement': 1, 'suppose': 1, 'come': 1, 'microsd': 1, 'card': 1, 'nowhere': 1, 'found': 1, 'disappointed': 1, 'would': 1, 'recommend': 1})",-0.6875
5,11/7/2020,"I normally don’t pay this much for entertainment purposes, but it came it amazing condition, came a week early and is really easy to set up. I recommend it.","Counter({'came': 2, 'normally': 1, 'pay': 1, 'much': 1, 'entertainment': 1, 'purpose': 1, 'amazing': 1, 'condition': 1, 'week': 1, 'early': 1, 'really': 1, 'easy': 1, 'set': 1, 'recommend': 1})",0.296666667
5,12/7/2020,"Honestly, I’m in love. I haven’t really had a real current-gen console since college (about a decade). I bought an old Wii a few years back just for some party games (wasn’t a fan) and messed around with 3DS casually here and there but things changed when I got a Switch. It’s just absolutely brought me fully back into the gaming world. All of the Nintendo branded games are solid winners. Mario Odyssey was an amazing and fun game to test the waters with, Zelda BotW is the deepest and best game I’ve ever played, Astral Chain is awesome fun, Animal Crossing is causal and super relaxing, and there are SO many amazing ports from other consoles that it almost feels pointless getting any other system. If you want more serious/intense action RPGs Skyrim is massive, Assassin’s Creed is a blast, Dragon’s Dogma is an underrated classic, and there are endless other options. Also the best for multiplayer games - Super Smash, Mario Kart, Overcooked are some of my wife and I’s favorites. My friend lent me a PS4, and while the games are bigger and with better graphics, nothing really beats being able to play your game on the big screen then grab it and play it on the couch or on the go. So convenient, so good. Nintendo really nailed it on this one. Everything about it feels pretty perfectly designed. Battery life is about 4-5ish hours, just need to get a good sized micro-sd for digital games and you’re good to go. Seriously one of the best purchases I’ve made in a long time (Note - I bought my Switch a month before Covid hit so I got it for the standard price of about $300 - avoid the price gouged $400-500 price tags. You can find it cheaper elsewhere or just wait for the price to go back down)","Counter({'game': 8, 'price': 4, 'really': 3, 'back': 3, 'best': 3, 'go': 3, 'good': 3, 'console': 2, 'bought': 2, 'got': 2, 'switch': 2, 'nintendo': 2, 'mario': 2, 'amazing': 2, 'fun': 2, 'super': 2, 'feel': 2, 'play': 2, 'one': 2, 'honestly': 1, 'love': 1, 'real': 1, 'since': 1, 'college': 1, 'decade': 1, 'old': 1, 'wii': 1, 'year': 1, 'party': 1, 'fan': 1, 'messed': 1, 'around': 1, 'casually': 1, 'thing': 1, 'changed': 1, 'absolutely': 1, 'brought': 1, 'fully': 1, 'gaming': 1, 'world': 1, 'branded': 1, 'solid': 1, 'winner': 1, 'odyssey': 1, 'test': 1, 'water': 1, 'zelda': 1, 'botw': 1, 'deepest': 1, 'ever': 1, 'played': 1, 'astral': 1, 'chain': 1, 'awesome': 1, 'animal': 1, 'crossing': 1, 'causal': 1, 'relaxing': 1, 'many': 1, 'port': 1, 'almost': 1, 'pointless': 1, 'getting': 1, 'system': 1, 'want': 1, 'action': 1, 'rpgs': 1, 'skyrim': 1, 'massive': 1, 'assassin': 1, 'creed': 1, 'blast': 1, 'dragon': 1, 'dogma': 1, 'underrated': 1, 'classic': 1, 'endless': 1, 'option': 1, 'also': 1, 'multiplayer': 1, 'smash': 1, 'kart': 1, 'overcooked': 1, 'wife': 1, 'favorite': 1, 'friend': 1, 'lent': 1, 'bigger': 1, 'better': 1, 'graphic': 1, 'nothing': 1, 'beat': 1, 'able': 1, 'big': 1, 'screen': 1, 'grab': 1, 'couch': 1, 'convenient': 1, 'nailed': 1, 'everything': 1, 'pretty': 1, 'perfectly': 1, 'designed': 1, 'battery': 1, 'life': 1, 'hour': 1, 'need': 1, 'get': 1, 'sized': 1, 'digital': 1, 'seriously': 1, 'purchase': 1, 'made': 1, 'long': 1, 'time': 1, 'note': 1, 'month': 1, 'covid': 1, 'hit': 1, 'standard': 1, 'avoid': 1, 'gouged': 1, 'tag': 1, 'find': 1, 'cheaper': 1, 'elsewhere': 1, 'wait': 1})",0.209888889
5,13/7/2020,If you want a great handheld game the Nintendo switch is by far a great system ! Switches can come off and be replaced or hook to a TV and use them to play perfect for age appropriate kids and adults very easy to use and last awhile,"Counter({'great': 2, 'switch': 2, 'use': 2, 'want': 1, 'handheld': 1, 'game': 1, 'nintendo': 1, 'far': 1, 'system': 1, 'come': 1, 'replaced': 1, 'hook': 1, 'tv': 1, 'play': 1, 'perfect': 1, 'age': 1, 'appropriate': 1, 'kid': 1, 'adult': 1, 'easy': 1, 'last': 1, 'awhile': 1})",0.445416667
5,14/7/2020,Great product. I'm a long time gamer and Nintendo lover and this console delivers. Speaking of delivery it was projected to arrive like a week+ later than I got it. I know that kinda thing varies but seeing that it was delivered yesterday was an incredibly pleasant surprise to wake up to.,"Counter({'great': 1, 'product': 1, 'long': 1, 'time': 1, 'gamer': 1, 'nintendo': 1, 'lover': 1, 'console': 1, 'delivers': 1, 'speaking': 1, 'delivery': 1, 'projected': 1, 'arrive': 1, 'like': 1, 'later': 1, 'got': 1, 'know': 1, 'kinda': 1, 'thing': 1, 'varies': 1, 'seeing': 1, 'delivered': 1, 'yesterday': 1, 'incredibly': 1, 'pleasant': 1, 'surprise': 1, 'wake': 1})",0.370833333
4,14/7/2020,"I know this is overpriced.  I was OK with paying it.  Here is my only complaint, it did not come with the memory card.  So, it is not as described.  I could have purchased this lesser edition for $417.00.  However, I wanted the 32 GB video game with memory card, so I paid extra.  This is the first time ever I did not get what I paid for on Amazon. I did my homework.  I read the reviews.  I did see that one other person did not get the memory card.  So I guess I am not the only one who was taken advantage of.","Counter({'memory': 3, 'card': 3, 'paid': 2, 'get': 2, 'one': 2, 'know': 1, 'overpriced': 1, 'ok': 1, 'paying': 1, 'complaint': 1, 'come': 1, 'described': 1, 'could': 1, 'purchased': 1, 'lesser': 1, 'edition': 1, 'however': 1, 'wanted': 1, 'gb': 1, 'video': 1, 'game': 1, 'extra': 1, 'first': 1, 'time': 1, 'ever': 1, 'amazon': 1, 'homework': 1, 'read': 1, 'review': 1, 'see': 1, 'person': 1, 'guess': 1, 'taken': 1, 'advantage': 1})",-0.008333333
1,14/7/2020,"Poor Quality Product and untrustworthy. I received a faulty item, tried to resolve problem with patients and left out to dry. With a very high price to start with on product , I ended up with less than in the end. Buyer beware!","Counter({'product': 2, 'poor': 1, 'quality': 1, 'untrustworthy': 1, 'received': 1, 'faulty': 1, 'item': 1, 'tried': 1, 'resolve': 1, 'problem': 1, 'patient': 1, 'left': 1, 'dry': 1, 'high': 1, 'price': 1, 'start': 1, 'ended': 1, 'le': 1, 'end': 1, 'buyer': 1, 'beware': 1})",-0.0934
1,14/7/2020,I absolutely loved the price.....yeah no only if you make as much as mario collecting coins on a bonus level.... Really?!,"Counter({'absolutely': 1, 'loved': 1, 'price': 1, 'yeah': 1, 'make': 1, 'much': 1, 'mario': 1, 'collecting': 1, 'coin': 1, 'bonus': 1, 'level': 1, 'really': 1})",0.2875
5,15/7/2020,"Very good experience, recommended","Counter({'good': 1, 'experience': 1, 'recommended': 1})",0.91
3,16/7/2020,"The product itself was as expected but the packaging is horrible. The box was smashed up and open in parts. Thankfully there was minimal bubble wrap and I mean minimal. The $500 Nintendo switch was 100 degrees as well, not insulated or air conditioned while traveling. Really dissatisfied for the price!","Counter({'minimal': 2, 'product': 1, 'expected': 1, 'packaging': 1, 'horrible': 1, 'box': 1, 'smashed': 1, 'open': 1, 'part': 1, 'thankfully': 1, 'bubble': 1, 'wrap': 1, 'mean': 1, 'nintendo': 1, 'switch': 1, 'degree': 1, 'well': 1, 'insulated': 1, 'air': 1, 'conditioned': 1, 'traveling': 1, 'really': 1, 'dissatisfied': 1, 'price': 1})",-0.194642857
3,17/7/2020,I really dont  have anything bad to say the only thing I would say is the price and never recieved the memory card. Otherwise my son loves it and works well.,"Counter({'say': 2, 'really': 1, 'dont': 1, 'anything': 1, 'bad': 1, 'thing': 1, 'would': 1, 'price': 1, 'never': 1, 'recieved': 1, 'memory': 1, 'card': 1, 'otherwise': 1, 'son': 1, 'love': 1, 'work': 1, 'well': 1})",-0.166666667
5,18/7/2020,Worked as expected and arrived a little early than expected.,"Counter({'expected': 2, 'worked': 1, 'arrived': 1, 'little': 1, 'early': 1})",-0.071875
5,18/7/2020,It arrived way earlier than expected! Which means I don’t have games for it yet. But It was easy to set up and everything and I’m really looking forward to playing it!,"Counter({'arrived': 1, 'way': 1, 'earlier': 1, 'expected': 1, 'mean': 1, 'game': 1, 'yet': 1, 'easy': 1, 'set': 1, 'everything': 1, 'really': 1, 'looking': 1, 'forward': 1, 'playing': 1})",0.139583333
4,18/7/2020,Great,Counter({'great': 1}),0.8
5,18/7/2020,For Animal Crossing! Finally got it after nearly four-month of waiting,"Counter({'animal': 1, 'crossing': 1, 'finally': 1, 'got': 1, 'nearly': 1, 'waiting': 1})",0.05
4,19/7/2020,Huge birthday success even if it was over priced.,"Counter({'huge': 1, 'birthday': 1, 'success': 1, 'even': 1, 'priced': 1})",0.35
5,21/7/2020,Keeps my kid entertained. Make sure you buy the tempered glass. I like the fact that it is portable and that you can use it at home on the tv and the corners come off for multiple player. Very cool.,"Counter({'keep': 1, 'kid': 1, 'entertained': 1, 'make': 1, 'sure': 1, 'buy': 1, 'tempered': 1, 'glass': 1, 'like': 1, 'fact': 1, 'portable': 1, 'use': 1, 'home': 1, 'tv': 1, 'corner': 1, 'come': 1, 'multiple': 1, 'player': 1, 'cool': 1})",0.318333333
5,21/7/2020,"Thought it died but was operator error. Great product, kid loves it.","Counter({'thought': 1, 'died': 1, 'operator': 1, 'error': 1, 'great': 1, 'product': 1, 'kid': 1, 'love': 1})",0.8
5,22/7/2020,"Thank you guys so much for all your help and the perfect product, I just received it and have it charging . I was so worried it would not arrive on time since it went out two days ago but just like it said when i bought it it arrived on time , in PERFECT condition !!! I can not express my gratitude and happiness , thank you guys for all your help , definitely buying from tech electronics , thank you guys so much stay safe and awesome.","Counter({'thank': 3, 'guy': 3, 'much': 2, 'help': 2, 'perfect': 2, 'time': 2, 'product': 1, 'received': 1, 'charging': 1, 'worried': 1, 'would': 1, 'arrive': 1, 'since': 1, 'went': 1, 'two': 1, 'day': 1, 'ago': 1, 'like': 1, 'said': 1, 'bought': 1, 'arrived': 1, 'condition': 1, 'express': 1, 'gratitude': 1, 'happiness': 1, 'definitely': 1, 'buying': 1, 'tech': 1, 'electronics': 1, 'stay': 1, 'safe': 1, 'awesome': 1})",0.575
5,22/7/2020,It came quick and at a great price tbh. Most people are saying it is expensive but they need to understand that this product is having a shortage and may be discontinued. It has a high demand right now and I am glad I could find one. Sold out at all GameStop’s and other stores. It was my daughter’s birthday gift and she loved it. Some people are charging 500+. Thank you so much for having this product at a great price and not over abusing the market.,"Counter({'great': 2, 'price': 2, 'people': 2, 'product': 2, 'came': 1, 'quick': 1, 'tbh': 1, 'saying': 1, 'expensive': 1, 'need': 1, 'understand': 1, 'shortage': 1, 'may': 1, 'discontinued': 1, 'high': 1, 'demand': 1, 'right': 1, 'glad': 1, 'could': 1, 'find': 1, 'one': 1, 'sold': 1, 'gamestop': 1, 'store': 1, 'daughter': 1, 'birthday': 1, 'gift': 1, 'loved': 1, 'charging': 1, 'thank': 1, 'much': 1, 'abusing': 1, 'market': 1})",0.332186147
5,22/7/2020,"I love it! It was fast and easy to set up, the price was a bit high. It came with everything plus a SD card (I wasn’t sure if it was included or not), it’s light and easy to use. The only think I didn’t like but isn’t a problem for me was the peg that pops out the back is hard for me to use but I figured it out 😁.","Counter({'easy': 2, 'use': 2, 'love': 1, 'fast': 1, 'set': 1, 'price': 1, 'bit': 1, 'high': 1, 'came': 1, 'everything': 1, 'plus': 1, 'sd': 1, 'card': 1, 'sure': 1, 'included': 1, 'light': 1, 'think': 1, 'like': 1, 'problem': 1, 'peg': 1, 'pop': 1, 'back': 1, 'hard': 1, 'figured': 1})",0.246
4,23/7/2020,"My switch came just as expected. Brand new, perfect working condition, and is the newer model in the red box. My memory card was included. I’ve been hunting for one for months so I was willing to pay more at this point, but it’s a shame the way the prices are inflated. I’ve heard of people getting scammed on amazon with switch consoles but luckily this was not the case. If you’re willing to pay more, then this is a good company to order from.","Counter({'switch': 2, 'willing': 2, 'pay': 2, 'came': 1, 'expected': 1, 'brand': 1, 'new': 1, 'perfect': 1, 'working': 1, 'condition': 1, 'newer': 1, 'model': 1, 'red': 1, 'box': 1, 'memory': 1, 'card': 1, 'included': 1, 'hunting': 1, 'one': 1, 'month': 1, 'point': 1, 'shame': 1, 'way': 1, 'price': 1, 'inflated': 1, 'heard': 1, 'people': 1, 'getting': 1, 'scammed': 1, 'amazon': 1, 'console': 1, 'luckily': 1, 'case': 1, 'good': 1, 'company': 1, 'order': 1})",0.356969697
5,23/7/2020,Too easy worth it,"Counter({'easy': 1, 'worth': 1})",0.366666667
3,24/7/2020,I am happy I have a switch finally but hate that it costs $200+ more than they’re worth. One thing to add on is I didn’t get the additional memory card like I paid for but saw other people had gotten theirs???,"Counter({'happy': 1, 'switch': 1, 'finally': 1, 'hate': 1, 'cost': 1, 'worth': 1, 'one': 1, 'thing': 1, 'add': 1, 'get': 1, 'additional': 1, 'memory': 1, 'card': 1, 'like': 1, 'paid': 1, 'saw': 1, 'people': 1, 'gotten': 1})",0.1125
5,24/7/2020,I am really having fun with. Great game!,"Counter({'really': 1, 'fun': 1, 'great': 1, 'game': 1})",0.2
1,25/7/2020,Device arrived with a malfunction. VDI external port did not work. Return the device and was given less than $200 for what I paid for. No explanation as to why the reduction. First time I have run into this situation. I do not recommend purchasing from this vendor.,"Counter({'device': 2, 'arrived': 1, 'malfunction': 1, 'vdi': 1, 'external': 1, 'port': 1, 'work': 1, 'return': 1, 'given': 1, 'le': 1, 'paid': 1, 'explanation': 1, 'reduction': 1, 'first': 1, 'time': 1, 'run': 1, 'situation': 1, 'recommend': 1, 'purchasing': 1, 'vendor': 1})",0.027777778
1,25/7/2020,Been waiting to find this and hurt to pay that much but I figured “hey it’s going to come with a 32 GB card and my kids are going to love it why not?” The switch came but there was no 32 GB card in the box! Really irritated by this and the customer service that amazon gave me.,"Counter({'going': 2, 'gb': 2, 'card': 2, 'waiting': 1, 'find': 1, 'hurt': 1, 'pay': 1, 'much': 1, 'figured': 1, 'hey': 1, 'come': 1, 'kid': 1, 'love': 1, 'switch': 1, 'came': 1, 'box': 1, 'really': 1, 'irritated': 1, 'customer': 1, 'service': 1, 'amazon': 1, 'gave': 1})",0.341666667
5,25/7/2020,Works amazing,"Counter({'work': 1, 'amazing': 1})",0.6
5,25/7/2020,We were so happy to find this console as NEW! They were sold out everywhere and my daughters bday couldn’t wait. It came before promised and we have had it for about6 weeks. No issues so far!,"Counter({'happy': 1, 'find': 1, 'console': 1, 'new': 1, 'sold': 1, 'everywhere': 1, 'daughter': 1, 'bday': 1, 'wait': 1, 'came': 1, 'promised': 1, 'week': 1, 'issue': 1, 'far': 1})",0.365151515
5,27/7/2020,Had been waiting for a while for the switches to be restocked and jumped on it as soon as I saw Walmart had a few in stock online. Didn't want to pay that ridiculous markup price people are selling them for when they go for $299. The system is definitely worth getting for both kids and adults.,"Counter({'waiting': 1, 'switch': 1, 'restocked': 1, 'jumped': 1, 'soon': 1, 'saw': 1, 'walmart': 1, 'stock': 1, 'online': 1, 'want': 1, 'pay': 1, 'ridiculous': 1, 'markup': 1, 'price': 1, 'people': 1, 'selling': 1, 'go': 1, 'system': 1, 'definitely': 1, 'worth': 1, 'getting': 1, 'kid': 1, 'adult': 1})",-0.077777778
5,27/7/2020,This order is amazing . it works very well and came out exactly like a normal nintendo switch . honestly it was 300$ when i ordered but its prize got raised which isnt that epic . when it was normal price me and my mother bought it and after it came we bought pokemon Sword for it and it works perfectly like a normal nintendo switch. 5 stars,"Counter({'normal': 3, 'work': 2, 'came': 2, 'like': 2, 'nintendo': 2, 'switch': 2, 'bought': 2, 'order': 1, 'amazing': 1, 'well': 1, 'exactly': 1, 'honestly': 1, 'ordered': 1, 'prize': 1, 'got': 1, 'raised': 1, 'isnt': 1, 'epic': 1, 'price': 1, 'mother': 1, 'pokemon': 1, 'sword': 1, 'perfectly': 1, 'star': 1})",0.355555556
5,28/7/2020,"My son enjoys games and he recommends that this console can be used anywhere.He loves the flack that he doesn't have to sit in his room but can walk around ,travel and even take on trips and it is very reliable consol.Thank you Nintendo","Counter({'son': 1, 'enjoys': 1, 'game': 1, 'recommends': 1, 'console': 1, 'used': 1, 'love': 1, 'flack': 1, 'sit': 1, 'room': 1, 'walk': 1, 'around': 1, 'travel': 1, 'even': 1, 'take': 1, 'trip': 1, 'reliable': 1, 'nintendo': 1})",0.2
5,28/7/2020,I got my Switch and the box and contents were in new condition. Everything turned on well and worked well. I saw others said they didn’t get their SD card so I wasn’t expecting it but to my surprise it was in the box. I definitely paid more then I would have wanted. But the product was in great condition and I don’t regret making the buy.,"Counter({'box': 2, 'condition': 2, 'well': 2, 'got': 1, 'switch': 1, 'content': 1, 'new': 1, 'everything': 1, 'turned': 1, 'worked': 1, 'saw': 1, 'others': 1, 'said': 1, 'get': 1, 'sd': 1, 'card': 1, 'expecting': 1, 'surprise': 1, 'definitely': 1, 'paid': 1, 'would': 1, 'wanted': 1, 'product': 1, 'great': 1, 'regret': 1, 'making': 1, 'buy': 1})",0.359090909
5,28/7/2020,"Works really well, and charges fast. Easy to set up for the most part. My only thing is that I feel like it's too expensive, but maybe that's just me.","Counter({'work': 1, 'really': 1, 'well': 1, 'charge': 1, 'fast': 1, 'easy': 1, 'set': 1, 'part': 1, 'thing': 1, 'feel': 1, 'like': 1, 'expensive': 1, 'maybe': 1})",0.138888889
5,28/7/2020,"Was delivered quickly and was exactly what we were looking for. Too bad the price is $130 more than what they originally sold for, but considering everyone wanted these during a pandemic, this was the best price I could find. I actually ordered one from another seller and they returned my money because they weren’t able to fulfill my order. I was very happy these guys were able to get the switch to me right away.","Counter({'price': 2, 'able': 2, 'delivered': 1, 'quickly': 1, 'exactly': 1, 'looking': 1, 'bad': 1, 'originally': 1, 'sold': 1, 'considering': 1, 'everyone': 1, 'wanted': 1, 'pandemic': 1, 'best': 1, 'could': 1, 'find': 1, 'actually': 1, 'ordered': 1, 'one': 1, 'another': 1, 'seller': 1, 'returned': 1, 'money': 1, 'fulfill': 1, 'order': 1, 'happy': 1, 'guy': 1, 'get': 1, 'switch': 1, 'right': 1, 'away': 1})",0.367640693
1,29/7/2020,Probably someone else's return.  Disappointing.,"Counter({'probably': 1, 'someone': 1, 'else': 1, 'return': 1, 'disappointing': 1})",-0.6
5,29/7/2020,"Love the switch! Did not disappoint. Don't forget an extra controller if you don't what to use just one small joystick each. Extra controller highly recommended. Everything else you need comes in the box, except for games of course.","Counter({'extra': 2, 'controller': 2, 'love': 1, 'switch': 1, 'disappoint': 1, 'forget': 1, 'use': 1, 'one': 1, 'small': 1, 'joystick': 1, 'highly': 1, 'recommended': 1, 'everything': 1, 'else': 1, 'need': 1, 'come': 1, 'box': 1, 'except': 1, 'game': 1, 'course': 1})",0.107
5,29/7/2020,"Arrived in perfect, working condition even during a pandemic. Order was shipped and received in a speedy fashion. I'm very grateful! Highly recommend.","Counter({'arrived': 1, 'perfect': 1, 'working': 1, 'condition': 1, 'even': 1, 'pandemic': 1, 'order': 1, 'shipped': 1, 'received': 1, 'speedy': 1, 'fashion': 1, 'grateful': 1, 'highly': 1, 'recommend': 1})",0.47
5,29/7/2020,Awesome. Kids love it. Easier to get going than the PS4. Nintendo has so many awesome interactive games. We love it. I bought this in the pandemic so paid a higher price tag but it was delivered quickly and was well-worth the quarantine higher price because most stores were out of stock.,"Counter({'awesome': 2, 'love': 2, 'higher': 2, 'price': 2, 'kid': 1, 'easier': 1, 'get': 1, 'going': 1, 'nintendo': 1, 'many': 1, 'interactive': 1, 'game': 1, 'bought': 1, 'pandemic': 1, 'paid': 1, 'tag': 1, 'delivered': 1, 'quickly': 1, 'quarantine': 1, 'store': 1, 'stock': 1})",0.537037037
5,29/7/2020,This has been a bright spot during the pandemic for the whole family. Just awesome.,"Counter({'bright': 1, 'spot': 1, 'pandemic': 1, 'whole': 1, 'family': 1, 'awesome': 1})",0.633333333
5,29/7/2020,Awesome game and fast delivery,"Counter({'awesome': 1, 'game': 1, 'fast': 1, 'delivery': 1})",0.266666667
5,30/7/2020,Great company delivered at a good price,"Counter({'great': 1, 'company': 1, 'delivered': 1, 'good': 1, 'price': 1})",0.75
5,30/7/2020,Works great! Silly price!,"Counter({'work': 1, 'great': 1, 'silly': 1, 'price': 1})",0.1875
5,30/7/2020,Perfect original packaging brand new.,"Counter({'perfect': 1, 'original': 1, 'packaging': 1, 'brand': 1, 'new': 1})",0.503787879
5,31/7/2020,Nice,Counter({'nice': 1}),0.6
1,1/8/2020,"I've owned Nintendo products my whole life. I was 2 when the NES released and had my first one when I was 6. I love Nintendo consoles and games. I love that I can leave my kids to play with them and not worry about inappropriate content. We bought our first switch just over a year ago. We loved everything about it from the mobility to the graphics. Mario kart became an instant family tradition. Unfortunately, the charging port went out, just after warranty. One thing we've come to love from Nintendo is the durability. I have an original NES that still works. We have a WII that's 15 years old and still going strong. To only get a year out of a $400 console is unacceptable.  I've been told that it likely can't be repaired, as the motherboard is so thin it doesn't accept new soldering without blowing through it. Now we are stuck with a $400 paper weight. Super disappointed.","Counter({'nintendo': 3, 'love': 3, 'year': 3, 'ne': 2, 'first': 2, 'one': 2, 'console': 2, 'still': 2, 'owned': 1, 'product': 1, 'whole': 1, 'life': 1, 'released': 1, 'game': 1, 'leave': 1, 'kid': 1, 'play': 1, 'worry': 1, 'inappropriate': 1, 'content': 1, 'bought': 1, 'switch': 1, 'ago': 1, 'loved': 1, 'everything': 1, 'mobility': 1, 'graphic': 1, 'mario': 1, 'kart': 1, 'became': 1, 'instant': 1, 'family': 1, 'tradition': 1, 'unfortunately': 1, 'charging': 1, 'port': 1, 'went': 1, 'warranty': 1, 'thing': 1, 'come': 1, 'durability': 1, 'original': 1, 'work': 1, 'wii': 1, 'old': 1, 'going': 1, 'strong': 1, 'get': 1, 'unacceptable': 1, 'told': 1, 'likely': 1, 'ca': 1, 'repaired': 1, 'motherboard': 1, 'thin': 1, 'accept': 1, 'new': 1, 'soldering': 1, 'without': 1, 'blowing': 1, 'stuck': 1, 'paper': 1, 'weight': 1, 'super': 1, 'disappointed': 1})",0.146001684
5,1/8/2020,"The Nintendo Switch! You know it's good it's pretty expensive at the time but that doesn't matter. What matters is that this is Nintendo's best console for this generation and if you're stuck at home bored then play this. It has great games like Smash Ultimate, Breath of the Wild & Animal Crossing New Horizons you can even watch YouTube on here! Honestly Nintendo did an excellent job at making this console despite it being expensive right now. Definitely my 2nd favorite console and would pick this up. Although it is sold out at a lot of places look over here and if it's really desired or you just want a switch cuz well it's a switch would 100% recommend this.","Counter({'nintendo': 3, 'switch': 3, 'console': 3, 'expensive': 2, 'matter': 2, 'would': 2, 'know': 1, 'good': 1, 'pretty': 1, 'time': 1, 'best': 1, 'generation': 1, 'stuck': 1, 'home': 1, 'bored': 1, 'play': 1, 'great': 1, 'game': 1, 'like': 1, 'smash': 1, 'ultimate': 1, 'breath': 1, 'wild': 1, 'animal': 1, 'crossing': 1, 'new': 1, 'horizon': 1, 'even': 1, 'watch': 1, 'youtube': 1, 'honestly': 1, 'excellent': 1, 'job': 1, 'making': 1, 'despite': 1, 'right': 1, 'definitely': 1, 'favorite': 1, 'pick': 1, 'although': 1, 'sold': 1, 'lot': 1, 'place': 1, 'look': 1, 'really': 1, 'desired': 1, 'want': 1, 'cuz': 1, 'well': 1, 'recommend': 1})",0.256635552
5,2/8/2020,"I can see the appeal for this console, the nostalgia of seeing exclusives like Zelda to the portability it offers. Overall its a great console to have for light fun gaming.","Counter({'console': 2, 'see': 1, 'appeal': 1, 'nostalgia': 1, 'seeing': 1, 'exclusive': 1, 'like': 1, 'zelda': 1, 'portability': 1, 'offer': 1, 'overall': 1, 'great': 1, 'light': 1, 'fun': 1, 'gaming': 1})",0.32
5,2/8/2020,My boyfriend wanted one of these soo bad so i finally decided to get it for him and let me tell you that it was the best decision i ever did we used to fight about the ps4 lol but not he plays fortnite with me from the nintendo it takes a long time before the battery dies out and everything is soo portable,"Counter({'soo': 2, 'boyfriend': 1, 'wanted': 1, 'one': 1, 'bad': 1, 'finally': 1, 'decided': 1, 'get': 1, 'let': 1, 'tell': 1, 'best': 1, 'decision': 1, 'ever': 1, 'used': 1, 'fight': 1, 'lol': 1, 'play': 1, 'fortnite': 1, 'nintendo': 1, 'take': 1, 'long': 1, 'time': 1, 'battery': 1, 'dy': 1, 'everything': 1, 'portable': 1})",0.21
5,2/8/2020,I can't speak on this too much personally it was a present for my daughter but she has had every console that has come out in the last 20 years and she cannot stop raving about this. From our perspective it is fantastic,"Counter({'ca': 1, 'speak': 1, 'much': 1, 'personally': 1, 'present': 1, 'daughter': 1, 'every': 1, 'console': 1, 'come': 1, 'last': 1, 'year': 1, 'stop': 1, 'raving': 1, 'perspective': 1, 'fantastic': 1})",0.1
5,3/8/2020,I want people to know I had a Perfect experience shopping online with Walmart I rate it 5 Stars! I recieved my merchandise quickly!!!,"Counter({'want': 1, 'people': 1, 'know': 1, 'perfect': 1, 'experience': 1, 'shopping': 1, 'online': 1, 'walmart': 1, 'rate': 1, 'star': 1, 'recieved': 1, 'merchandise': 1, 'quickly': 1})",0.825520833
4,3/8/2020,"Quick delivery, got there a few days before eta. Only reason it's not a 5 star is because its over priced due to the pandemic and it's high in demand. Other than that my 6 old loves it.","Counter({'quick': 1, 'delivery': 1, 'got': 1, 'day': 1, 'eta': 1, 'reason': 1, 'star': 1, 'priced': 1, 'due': 1, 'pandemic': 1, 'high': 1, 'demand': 1, 'old': 1, 'love': 1})",0.02047619
