Rate,Date,Content
4,8-Oct-20,"Quick shipping, well packed. The console is easy to setup and use and fun to play. Games are pricey, but I expected that. There are some ""bargain"" games available, so you could get hours of gaming pretty cheap if you wanted, but if you want to play the big name games (Kart, Party, Smash Bros, Animal Crossing, Zelda, etc.), you gotta shell out $60 a game. What really ticked me off was the $5 a month charge to play online. I bought the console for playing with my family remotely, since, thanks to COVID, we don't see each other often, so I pretty much had to pay the reoccurring charge for this service. Considering the price of the console, then the games, then extra controllers, etc etc this extra charge is ridiculous. After buying just two games, I'm $420 into this console already, now I have to pay $60 a year? I knocked off a star for that."
5,9-Oct-20,"Nice console for children As an adult, I would not buy it for myself as most games are pretty primitive. But kids love it. I love them loving it because they don't sit in one place but rather constantly moving"
4,9-Oct-20,Great item. Came with everything but did not feel brand new. Felt like packaging was for refurbished item
5,10-Oct-20,I love the Switch. This is my second one. First one still works. I just wanted two. Great game system. I thought the screen would be too small to enjoy playing games on...I was wrong.
5,14-Oct-20,"very fun games, but the screen is not as good or sharp as the xbox nor ps4, owell nintendo is nintendo, their games are fun and family friendly. very solid system."
5,17-Oct-20,"My girlfriend had wanted one of these for a very long time, and I noticed all the amazon switches were sold with a UK version of the AC adapter, so I looked on walmart. I was a bit worried that the package wouldn't be handled carefully given the other reviews, but when I got it within 2 days I was really happy. Fully functional, no issues, super fast delivery. Very happy overall"
5,17-Oct-20,Exactly what I ordered! Also got delivered a day earlier than expected.
1,20-Oct-20,It was broken when it arrived have had it charging for 3 hours now still will not power up at all screen has scratches in it looks refurbished supposed to be new very disappointed as it was a gift for my daughter..pretty devastated as a dad who promised his baby girl this...now the company I guess Wal-Mart went through to get this is making it difficult to return
5,21-Oct-20,This is a Xmas gift so I only Checked to make sure that nothing was damaged My grandchildren already have one and love it
4,21-Oct-20,My kids love it and having non stop fun. My younger one is juz 5 years old and she is able to learn quickly . GREAT PRODUCT
1,21-Oct-20,I didn't have it for too long and it's already having problems not charging
4,22-Oct-20,"very fun games, but the screen is not as good or sharp as the xbox nor ps4, owell nintendo is nintendo, their games are fun and family friendly. very solid system."
4,22-Oct-20,i love the machine very much! it's fun to play with kids and it can install bunch of games through downloading using wifi. and the mario cart is a legend. we can play it all day.
3,22-Oct-20,Pretty large for younger smaller hands. Glorified game boy at a much higher price. It is good if you have an Extra $300 or you play games 24 /7 but I bought as a gift. I am hoping that this most expensive gift is worth it.
4,22-Oct-20,Fun to play with family and online. Just unfortunate they don't have as many main stream games as the other consoles do.
5,22-Oct-20,e all love playing the switch..its fun for all ages and its portability makes it fun on the go as well
5,22-Oct-20,Very easy to set and begin playing immediately.
5,22-Oct-20,Much cheaper than on Amazon!
5,23-Oct-20,Came in a reasonable time
5,24-Oct-20,Good game. My 8 years old love it
5,24-Oct-20,I like that the $299.00 set has everything you need to get started
1,25-Oct-20,The box did not connect to TV. I had to send it back and I am still waiting on refund. The serial numbers on box and console did not match so that was another headache. Walmart can do better.!
5,25-Oct-20,"I got this for work as a hand held system to play during slow times. And it has been great. Its easy to use, great graphics and games."
5,25-Oct-20,Got an amazing deal and especially when it was out of stock everywhere I got it for a very discounted price
5,25-Oct-20,Love the Nintendo Switch. Easy to set up and easy to use
5,25-Oct-20,This is a gift and I loved fast shipping and price Im sure he will love it
1,25-Oct-20,Less than one year old and wont work
5,26-Oct-20,"I first bought a Switch when it came out, but wasn't playing it much so I gave it to my daughters. Then, in March 2020, we had this thing called a pandemic happen, and we all had to shelter in place to a few months. So I looked into buying one again to pass the time. It was sold out everywhere, and when you DID find one, it was marked up 150%, Amazon, eBay, you name it. After being persistent, I found it at Walmart at the MSRP. Glad, now I have something to do beside watch TV all day."
5,26-Oct-20,"I bought this unit for my wife and she seems to love it. I myself am not a gamer, but she's an enthusiastic player, so I guess I would recommend this unit based on her level of enjoyment!"
4,27-Oct-20,"Likes: -Able to play on Nintendo Switch console, or connect console to TV with HDMI, and play watching the screen of TV -HDMI included -Joy cons allow more than one person to play Minor Dislikes: -There are not many games capable for the use of the joy cons"
5,27-Oct-20,"I love my new switch, Im glad I bought it, and Im also really glad I was able to get it in my favorite color :"
5,27-Oct-20,Real fun game system. My son loves it.
1,27-Oct-20,I bought this and it said they had it and they just canceled it last second
5,28-Oct-20,Make sure you buy a memory card with it
5,28-Oct-20,Finally got one after the shortage of 2020. As expected. Great fun
4,28-Oct-20,"I'm very satisfied and I have no complaints about this console, I would recommend it to anyone"
1,1-Nov-20,The product model is not the same as what is listed on the product description
5,1-Nov-20,Arrived on time and was exactly what we wanted
5,2-Nov-20,"It was delivered on time and even a few days earlier than expected. My son was super thrilled for his gift. He had played friends' consoles and loved the switch for its ease of travel and switching to a tv at home. The games are a little expensive as most are, but overall very happy with the product."
5,2-Nov-20,Nintendo has a good selection of games that are less killing type of games. I choose this for the variety of non violence games you can offer the kids.
5,3-Nov-20,Gift for my daughter who LOVES it!
5,5-Nov-20,A great console for the kids and you can play in any place as long as you have battery
5,6-Nov-20,My Whole Family loves this item and it is a great gift
5,7-Nov-20,It's a fun console I play smash bros ultimate on it and it's an amazing experience very fun
5,8-Nov-20,this is amazing just buy this already
5,9-Nov-20,Love playing on this with m grandchildren. My grandson set it up. Was easy for a teenager to do
5,10-Nov-20,My kid is so happy! Animal Crossing on the switch is a winner!
5,11-Nov-20,Came in perfect condition and came very fast
5,12-Nov-20,"I love my Nintendo switch Lite. But I decided that I love it so much I would get the regular switch. Everything works amazing, it came with the HDMI cable, power cable, the dock, two straps for the joycons, you also got the joycon controller with it. I do definitely recommend this. But it is a little bit more pricier."
5,13-Nov-20,"So far ,so good !!! My kids waiting a long time for this Nintendo and finally they got it .Arrived 6 day before expected and is Brand New ."
